Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2003-06-01,2003-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,Index,47.239880,X,base year is 2015
ZAF,2004-06-01,2004-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,Index,47.922810,X,base year is 2015
ZAF,2005-06-01,2005-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,Index,48.270830,X,base year is 2015
ZAF,2006-06-01,2006-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,Index,51.357120,X,base year is 2015
ZAF,2007-06-01,2007-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,Index,56.052220,X,base year is 2015
ZAF,2008-06-01,2008-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,Index,65.506900,X,base year is 2015
ZAF,2009-06-01,2009-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,Index,72.129580,X,base year is 2015
ZAF,2010-06-01,2010-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,Index,72.417520,X,base year is 2015
ZAF,2011-06-01,2011-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,Index,77.456510,X,base year is 2015
ZAF,2012-06-01,2012-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,Index,82.207560,X,base year is 2015
ZAF,2013-06-01,2013-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,Index,87.390520,X,base year is 2015
ZAF,2014-06-01,2014-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,Index,95.884830,X,base year is 2015
ZAF,2015-06-01,2015-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,Index,99.772050,X,base year is 2015
ZAF,2016-06-01,2016-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,Index,111.721700,X,base year is 2015
ZAF,2017-06-01,2017-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,Index,119.352100,X,base year is 2015
ZAF,2018-06-01,2018-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,Index,122.807400,X,base year is 2015
ZAF,2019-06-01,2019-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,Index,127.414500,X,base year is 2015
ZAF,2020-06-01,2020-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,Index,132.597500,X,base year is 2015
ZAF,2021-06-01,2021-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,Index,141.379700,X,base year is 2015
ZAF,2022-06-01,2022-06-30,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,Index,153.905200,X,base year is 2015
ZAF,2000-07-01,2000-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,Index,35.665940,X,base year is 2015
ZAF,2001-07-01,2001-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,Index,36.973810,X,base year is 2015
ZAF,2002-07-01,2002-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,Index,43.930330,X,base year is 2015
ZAF,2003-07-01,2003-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,Index,47.226750,X,base year is 2015
ZAF,2004-07-01,2004-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,Index,47.647010,X,base year is 2015
ZAF,2005-07-01,2005-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,Index,48.638560,X,base year is 2015
ZAF,2006-07-01,2006-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2006,2006,Index,51.613220,X,base year is 2015
ZAF,2007-07-01,2007-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2007,2007,Index,56.662900,X,base year is 2015
ZAF,2008-07-01,2008-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2008,2008,Index,66.658670,X,base year is 2015
ZAF,2009-07-01,2009-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2009,2009,Index,71.697660,X,base year is 2015
ZAF,2010-07-01,2010-07-31,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2010,2010,Index,72.561490,X,base year is 2015
